,firstname,lastname,title,birthplace,birthdate,deathday,fraktion,jobs,total_speeches,sessions_attended,Beifall_party,Beifall_person,Beifall_total,Beifall_person_other_party_speaker,Beifall_while_speaker,Beifall_per_speaker,Zwischenruf_party,Zwischenruf_person,Zwischenruf_total,Zwischenruf_person_other_party_speaker,Zwischenruf_while_speaker,Zwischenruf_per_speaker,Lachen_party,Lachen_person,Lachen_total,Lachen_person_other_party_speaker,Lachen_while_speaker,Lachen_per_speaker,Zuruf_party,Zuruf_person,Zuruf_total,Zuruf_person_other_party_speaker,Zuruf_while_speaker,Zuruf_per_speaker,Widerspruch_party,Widerspruch_person,Widerspruch_total,Widerspruch_person_other_party_speaker,Widerspruch_while_speaker,Widerspruch_per_speaker,Heiterkeit_party,Heiterkeit_person,Heiterkeit_total,Heiterkeit_person_other_party_speaker,Heiterkeit_while_speaker,Heiterkeit_per_speaker
11000198,peter,bleser,,Brachtendorf,23.07.1952,,0.0,['Landwirtschaftsmeister'],7,238,44056,1,44057,0,21,3.0,1177,2,1179,0,22,3.142857142857143,378,0,378,0,2,0.2857142857142857,239,0,239,0,0,0.0,176,0,176,0,0,0.0,690,0,690,0,0,0.0
11000254,eberhard,brecht,Dr.,Quedlinburg / Bezirk Halle,20.02.1950,,1.0,['Dipl.-Physiker'],22,237,45017,16,45033,0,72,3.272727272727273,1422,12,1434,0,43,1.9545454545454546,619,0,619,0,0,0.0,586,0,586,0,5,0.22727272727272727,277,0,277,0,1,0.045454545454545456,592,0,592,0,3,0.13636363636363635
11000365,joerg-diether,dehm-desoi,Dr.,Frankfurt/Main,03.04.1950,,5.0,"['Autor', 'Geschäftsführer']",37,239,30020,0,30020,0,167,4.513513513513513,1160,0,1160,0,93,2.5135135135135136,441,0,441,0,5,0.13513513513513514,670,0,670,0,10,0.2702702702702703,259,0,259,0,2,0.05405405405405406,232,0,232,0,4,0.10810810810810811
11000616,hans-joachim,fuchtel,,Sulz am Neckar,13.02.1952,,0.0,['Parl. Staatssekretär'],6,238,44131,1,44132,0,25,4.166666666666667,1178,3,1181,0,5,0.8333333333333334,378,0,378,0,0,0.0,239,0,239,0,1,0.16666666666666666,176,0,176,0,0,0.0,692,0,692,0,0,0.0
11000756,gregor,gysi,Dr.,Berlin,16.01.1948,,5.0,"['Rechtsanwalt', 'Autor', 'Moderator']",21,237,29848,4,29852,0,204,9.714285714285714,1138,13,1151,0,127,6.0476190476190474,441,0,441,0,5,0.23809523809523808,661,0,661,0,6,0.2857142857142857,258,0,258,0,4,0.19047619047619047,232,0,232,0,3,0.14285714285714285
11001023,ulla,jelpke,,Hamburg,09.06.1951,,5.0,['Dipl.-Sozialökonomin'],61,239,30020,58,30078,0,413,6.770491803278689,1160,48,1208,0,295,4.836065573770492,441,0,441,0,13,0.21311475409836064,670,12,682,0,20,0.32786885245901637,259,1,260,0,3,0.04918032786885246,232,0,232,0,1,0.01639344262295082
11001074,volker,kauder,,Hoffenheim,03.09.1949,,0.0,"['Jurist', 'Vors. der CDU', 'CSU-Fraktion']",18,239,44253,19,44272,0,166,9.222222222222221,1180,175,1355,0,96,5.333333333333333,379,0,379,0,2,0.1111111111111111,239,1,240,0,4,0.2222222222222222,176,0,176,0,3,0.16666666666666666,696,0,696,0,1,0.05555555555555555
11001235,wolfgang,kubicki,,Braunschweig,03.03.1952,,3.0,"['Vizepräsident DBT', 'Rechtsanwalt', 'Dipl.-Volkswirt']",8,236,27586,8,27594,0,52,6.5,1037,39,1076,0,32,4.0,306,0,306,0,0,0.0,242,2,244,0,1,0.125,104,0,104,0,1,0.125,411,0,411,0,1,0.125
11001278,katharina,landgraf,,"Kirchengel / Krs Sondershausen, Bezirk Erfurt",24.02.1954,,0.0,['Dipl.-Meliorationsingenieurin'],6,233,43284,22,43306,0,13,2.1666666666666665,1164,11,1175,0,6,1.0,368,0,368,0,0,0.0,235,0,235,0,0,0.0,174,0,174,0,0,0.0,682,0,682,0,2,0.3333333333333333
11001434,christoph,matschie,,Mühlhausen / Thüringen,15.07.1961,,1.0,"['Mechaniker', 'Theologe', 'Landesminister a. D.']",41,239,45205,13,45218,0,261,6.365853658536586,1433,34,1467,0,162,3.951219512195122,622,1,623,1,1,0.024390243902439025,594,0,594,0,14,0.34146341463414637,280,0,280,0,2,0.04878048780487805,593,0,593,0,1,0.024390243902439025
